"","Peak","Delta_18_16","Delta_D_H"
"1",1,-25.0875661915488,-93.4369814088842
"2",2,-24.7294484721829,-88.4328123626829
"3",3,-24.7259906573049,-87.5443762417256
"4",4,-24.6917759858476,-87.1630380553841
"5",5,-24.7417709310671,-86.8524940151159
"6",6,-24.7337504922378,-86.70788500625
"7",7,-24.7079332429451,-86.5483526709512
"8",8,-24.6742253579329,-86.2369285851524
"9",9,-24.7301588561768,-86.4801263620305
"10",10,-24.7231087767012,-86.3008199949573
"11",11,-15.8373496539573,-29.2701099830854
"12",12,-15.4707438019268,-25.4804740897073
"13",13,-15.339590622311,-24.3426606566707
"14",14,-15.2933980149146,-23.9733490560488
"15",15,-15.3259470838049,-23.7010935313476
"16",16,-15.2832083572073,-23.4737546747195
"17",17,-15.2919469818963,-23.356670970872
"18",18,-15.2791044434573,-23.2789818023537
"19",19,-15.2702620561585,-23.1817439990549
"20",20,-15.2712496228354,-22.9304100669085
"21",21,-33.2925414797866,-149.1772954025
"22",22,-34.0592342424268,-158.063629493476
"23",23,-34.1917957791829,-159.805756354268
"24",24,-34.2451024169329,-160.683511129573
"25",25,-34.3290539175732,-161.250650644939
"26",26,-34.3209469786463,-161.412700984512
"27",27,-34.3355746945122,-161.552865468293
"28",28,-34.3451182991951,-161.768177846829
"29",29,-34.3683048283598,-161.960221303659
"30",30,-34.3628727355549,-161.958735307805
"31",31,-25.1427446642866,-92.6170161003354
"32",32,-24.7855947975671,-87.7563011559268
"33",33,-24.691800324189,-86.6983896960305
"34",34,-24.7000836322256,-86.498556921128
"35",35,-24.6382629341402,-86.2419395391098
"36",36,-24.6090609059695,-86.0169519667866
"37",37,-24.6103744276098,-85.8094799096463
"38",38,-24.629594650189,-85.8651388960366
"39",39,-24.6242338995915,-85.8092481454939
"40",40,-24.5941670426037,-85.5020562508171
"41",41,-32.2982433998354,-147.901486823232
"42",42,-32.6382938063476,-152.495947764085
"43",43,-32.6894917485915,-153.346871218963
"44",44,-32.746814772561,-153.629216531463
"45",45,-32.6442557857561,-153.293403487683
"46",46,-32.637747602439,-153.34510191061
"47",47,-32.6700736286341,-153.539041908171
"48",48,-32.6604538490732,-153.568408432683
"49",49,-32.9089581187744,-155.12634106061
"50",50,-32.8904865029695,-155.162568288415
"51",51,-32.9560226065427,-155.483108085854
"52",52,-32.8686787627988,-155.032231652927
"53",53,-32.8928801856159,-154.943237650183
"54",54,-32.8393079927378,-155.057958014085
"55",55,-32.8883575875366,-155.183788581951
"56",56,-32.9165201773902,-155.379219269451
"57",57,-33.0662997075488,-155.958307939756
"58",58,-32.9880812585915,-155.633993080915
"59",59,-32.9948901106707,-155.839148290183
"60",60,-33.0326024770305,-155.87544026878
"61",61,-33.0669188587622,-155.98942743878
"62",62,-33.0752157122622,-155.977927539451
"63",63,-33.0646160338719,-155.888423597866
"64",64,-33.0572023210366,-156.036611518598
"65",65,-33.0870427226585,-156.184264463171
"66",66,-33.0793554855244,-156.183017113049
"67",67,-33.0966159047744,-156.083962499451
"68",68,-33.082041317189,-156.037580042012
"69",69,-33.0411731360793,-155.850338885
"70",70,-33.0240523181646,-155.907661376951
"71",71,-33.0467470964756,-155.772339067622
"72",72,-33.0473796553354,-155.798576868598
"73",73,-25.10967397775,-92.4820172950976
"74",74,-24.8413291044878,-88.2493942537012
"75",75,-24.7518830002561,-87.1224917882561
"76",76,-24.6344037559329,-86.6399416868415
"77",77,-32.9686012666707,-152.051581658049
"78",78,-33.3520308322439,-156.831267284329
"79",79,-33.347841234,-157.500598782683
"80",80,-33.390207684872,-157.928985589024
"81",81,-33.5839222839817,-159.92367488311
"82",82,-33.6231339965915,-160.339489427927
"83",83,-33.6458244686098,-160.509212041585
"84",84,-33.6793427566585,-160.557340507622
"85",85,-33.3100304135976,-157.541636586707
"86",86,-33.3044549725183,-157.523489055122
"87",87,-33.2980442060976,-157.326268629146
"88",88,-33.3028071221585,-157.535564245671
"89",89,-34.0955802900488,-164.023348492134
"90",90,-34.1733483821037,-164.617718030244
"91",91,-34.2427516802195,-164.934740294695
"92",92,-34.2383553740793,-164.697104626829
"93",93,-33.3051196267927,-157.918060490671
"94",94,-33.3330552500671,-157.45158317128
"95",95,-33.3167845407866,-157.373845252561
"96",96,-33.2842200329329,-157.163856814085
"97",97,-33.2030086676768,-156.827364489634
"98",98,-33.2326650287073,-156.778057283415
"99",99,-33.2557314341463,-156.856363494329
"100",100,-33.2320889946098,-156.929090175854
"101",101,-33.2957197097073,-156.653294919268
"102",102,-33.3311319272561,-156.652017911524
"103",103,-33.3787015307744,-156.870881428841
"104",104,-33.3315109564329,-156.67234435061
"105",105,-32.8356054809085,-151.592715040122
"106",106,-32.8059082319207,-150.953356012988
"107",107,-32.8336333120305,-151.140792255915
"108",108,-32.8219391749329,-151.178561330427
"109",109,-25.1083254562012,-92.2744014286951
"110",110,-24.7718339002134,-87.9146788647256
"111",111,-24.7444610485488,-86.8390406322378
"112",112,-24.6652723554817,-86.6154701707988
"113",113,-32.840643122872,-150.778296686951
"114",114,-33.1597419159817,-155.180224172927
"115",115,-33.2263921062073,-156.10126008878
"116",116,-33.2628605852805,-156.46057663372
"117",117,-33.5148782457805,-155.675091474878
"118",118,-33.5318987521463,-155.587815388659
"119",119,-33.5593220933232,-155.604492646463
"120",120,-33.5308796363598,-155.546004929512
"121",121,-33.6311266921951,-158.482433085183
"122",122,-33.6295444835732,-158.760407933902
"123",123,-33.6890991104634,-159.003689396341
"124",124,-33.6967292683232,-158.865650803415
"125",125,-32.6709823459695,-153.900419859817
"126",126,-32.6851941912195,-153.559045541585
"127",127,-32.6416855404939,-153.506257422256
"128",128,-32.6396832164512,-153.49971399128
"129",129,-33.5385925971951,-158.229461240305
"130",130,-33.6481544739329,-158.682160792622
"131",131,-33.6522016569573,-158.804193560549
"132",132,-33.6714552609146,-158.754913255976
"133",133,-32.5709763142378,-152.864255850976
"134",134,-32.5566565575061,-152.598199997561
"135",135,-32.5518997904817,-152.598870592683
"136",136,-32.5513051918415,-152.466622475
"137",137,-33.6543564864878,-158.717765812317
"138",138,-33.7693351875244,-159.232012193354
"139",139,-33.7245315089207,-159.318123865122
"140",140,-33.7360098097256,-159.21961691189
"141",141,-34.3596077533659,-161.04724174
"142",142,-34.3918797659024,-161.01746715689
"143",143,-34.3549704265854,-161.132534285488
"144",144,-34.3349528631951,-161.072854285732
"145",145,-25.1789628568537,-93.0851036842378
"146",146,-24.7879594730549,-88.0833257718841
"147",147,-24.734118785689,-87.0579660742561
"148",148,-24.7111543629512,-86.8345720625488
"149",149,-33.5908549815366,-155.226402426951
"150",150,-34.0378919751341,-159.946222496768
"151",151,-34.0597624295427,-160.971461635244
"152",152,-34.0672398932317,-161.306545890732
"153",153,-35.6504391049695,-171.421290158963
"154",154,-35.7251303077561,-172.189548617744
"155",155,-35.7604160749207,-172.487447688415
"156",156,-35.7611530751768,-172.754043106463
"157",157,-25.3226291878537,-94.1077376465122
"158",158,-24.832400369311,-88.5273049238049
"159",159,-24.7893252555488,-87.2620119910427
"160",160,-24.6995189087195,-86.8862052670122
